author_id,sterling_no,home_grown,diversity,total_topics,total_publications,no_of_paper_venues,total_active_year,h-index,total_cites
019164F6,0.09139233689610624,0.8529622455635077,0.109375,4,16,9,11,0.0,27
019174A2,0.2305431385218015,0.922172554087206,0.25,2,2,1,2,0.3667,1
01958BE6,0.058412780639719546,0.9086361767662207,0.06632653061224489,3,14,9,11,0.0,83
01966769,0.0823529083146122,0.811468185509293,0.10714285714285714,4,14,6,11,212.958,246
019E14CB,0.03677380992011764,0.7845079449625096,0.046875,3,8,4,5,0.0,6
01A1E15E,0.06002650726260739,0.769393085973024,0.078125,3,16,7,5,0.0,0
01A6BAE3,0.17043252866022052,0.7669463789709923,0.2222222222222222,2,3,2,3,114.617,0
01A892ED,0.05678579107780621,0.9464298512967702,0.06,2,10,4,6,16.8357,7
01A8F340,0.03449802185378047,0.844012784320197,0.04132231404958678,3,11,4,8,0.0,0
01A947D1,0.08563836343885202,0.9397551714955209,0.0908203125,5,32,2,14,7.4333,24
01A9616E,0.23465013675453517,0.9386005470181407,0.25,2,2,1,2,0.0,23
01A9A4B5,0.14137767426148606,0.869634595442606,0.17279999999999998,3,25,2,16,52.9833,54
01AA3F52,0.09891111190000056,0.9043301659428622,0.109375,2,8,5,6,100.667,87
01ABB701,0.036581861331912116,0.9324789290788674,0.039999999999999994,5,35,11,9,0.0,93
01AF582E,0.04841637818945442,0.7746620510312707,0.0625,2,4,3,3,0.0,2
01B0424E,0.7139525888442199,0.9519367851256265,0.75,2,4,3,2,0.0,0
01B3DDAC,0.09517711145683468,0.8565940031115121,0.1111111111111111,2,3,3,2,0.0,2
01B41DB3,0.12433283334666533,0.676923203776289,0.1836734693877551,2,7,3,2,0.75,9
01B5803E,0.06154017257310741,0.9846427611697186,0.0625,2,4,1,4,0.0,0
01B66AD2,0.19415683725047822,0.873705767627152,0.2222222222222222,2,3,3,2,0.0,7
01BAAABE,0.041444277782221775,0.676923203776289,0.061224489795918366,2,7,5,6,19.5833,23
01BAC639,0.009167598237056459,0.7746620510312707,0.011834319526627219,2,39,16,12,0.0,250
01BB1EAD,0.043475138627199886,0.8803715572007977,0.04938271604938271,2,9,1,5,0.0,2
01BB8360,0.058390656187315405,0.9342504989970465,0.0625,2,4,3,3,0.0,4
01BCBD1C,0.7746620510312707,0.7746620510312707,1.0,2,2,2,1,32.1,4
01BF60D8,0.0501869372020336,0.8029909952325376,0.0625,2,4,3,3,0.5,0
01C0868E,0.8171616523216378,0.8171616523216378,1.0,2,1,1,1,0.0,0
01C158B8,0.03696792376343815,0.869634595442606,0.04155124653739613,3,19,2,11,0.0,3
01C41FB6,0.07490648866352777,0.936331108294097,0.08,2,5,4,5,11.7417,25
01C66E8C,0.03369197991023905,0.8321600109662425,0.040625,4,40,16,14,364.301,353
01CE9BB9,0.29171891471195793,0.8751567441358737,0.3333333333333333,3,3,2,2,0.0,2
01D2BE15,0.07982688080985267,0.9978360101231585,0.08,2,5,2,3,0.0,3
01D31278,0.10824735815174019,0.9498174551156775,0.11570247933884298,3,11,6,5,9.2,12
01D3BD76,0.08461540047203613,0.676923203776289,0.125,2,4,2,4,0.0,3
01D42474,0.19366551275781768,0.7746620510312707,0.25,2,4,3,3,0.0,16
01D513FE,0.09518356866407483,0.9101571908912731,0.1037253469685902,7,37,6,18,0.0,178
01D5CFF0,0.436852883813576,0.873705767627152,0.5,2,2,1,1,61.5,0
01D883A0,0.9333712471007753,0.9333712471007753,1.0,2,1,1,1,0.8333,6
01D8FA3F,0.015493241020625414,0.7746620510312707,0.02,2,10,5,6,0.0,10
01DB926D,0.09683275637890884,0.7746620510312707,0.125,2,4,2,3,0.0,0
01DF3147,0.19279116451457204,0.8675602403155742,0.2222222222222222,2,3,3,2,205.858,1
01E2613B,0.0730220076273102,0.8486753388771191,0.08673469387755102,4,14,3,8,0.0,94
01E3704C,0.10380561099967184,0.9342504989970465,0.1111111111111111,2,3,3,3,0.0,0
01E9F576,0.1034477795729714,0.8275822365837712,0.125,2,4,1,4,0.0,9
01EACEA7,0.0700122217240435,0.892208802490418,0.07831968672125314,6,53,10,16,0.25,146
01EAE523,0.04841637818945442,0.7746620510312707,0.0625,2,4,3,3,193.936,9
